firstName;lastName;nation abbrName
Paulo;Dybala;Argentina
N'Golo;Kant«∏;France
Lev;Yashin;Russia
Laurent;Blanc;France
Ronaldo;de Assis Moreira;Brazil
Marco;van Basten;Holland
Gheorghe;Hagi;Romania
Michael;Laudrup;Denmark
Edwin;van der Sar;Holland
Fabio;Cannavaro;Italy
Fernando;Hierro Ruiz;Spain
Ryan;Giggs;Wales
Gary;Lineker;England
Bobby;Moore;England
Paul;Scholes;England
Alan;Shearer;England
Pavel;Nedvé?d;Czech Republic
Miroslav;Klose;Germany
S«¸crates;Vieira de Oliveira;Brazil
Johan;Cruyff;Holland
David;Trezeguet;France
Steven;Gerrard;England
Sol;Campbell;England
Gennaro;Gattuso;Italy
Roberto;Baggio;Italy
Michael;Ballack;Germany
Gianluigi;Buffon;Italy
Samir;Handanoviéç;Slovenia
Thiago Emiliano;da Silva;Brazil
Hugo;Lloris;France
Gareth;Bale;Wales
Marcelo;Vieira da Silva;Brazil
Philippe;Coutinho Correia;Brazil
Sergio;Busquets Burgos;Spain
Christian;Eriksen;Denmark
Paul;Pogba;France
Lorenzo;Insigne;Italy
James;Rodr«guez;Colombia
Carlos Henrique;Venancio Casimiro;Brazil
Mohamed;Salah;Egypt
Lorenzo;Insigne;Italy
Christian;Vieri;Italy
Roberto Carlos;da Silva Rocha;Brazil
Paolo;Maldini;Italy
Gianluigi;Buffon;Italy
Patrick;Vieira;France
Marc;Overmars;Holland
Juan Sebasti«≠n;Ver«¸n;Argentina
Samir;Handanoviéç;Slovenia
Thiago Emiliano;da Silva;Brazil
Gonzalo;Higua«n;Argentina
Hugo;Lloris;France
Gareth;Bale;Wales
Marcelo;Vieira da Silva;Brazil
Philippe;Coutinho Correia;Brazil
Sergio;Busquets Burgos;Spain
Christian;Eriksen;Denmark
Paul;Pogba;France
Lorenzo;Insigne;Italy
James;Rodr«guez;Colombia
Carlos Henrique;Venancio Casimiro;Brazil
Mohamed;Salah;Egypt
Rio;Ferdinand;England
Emmanuel;Petit;France
Patrick;Kluivert;Holland
Rui Manuel;C«∏sar Costa;Portugal
Lothar;Matth«œus;Germany
George;Best;Northern Ireland
Alessandro;Nesta;Italy
Robert;Pir«˘s;France
Lu«s Filipe;Madeira Caeiro Figo;Portugal
Michael;Owen;England
Jens;Lehmann;Germany
Jari;Litmanen;Finland
Andriy;Shevchenko;Ukraine
Frank;Rijkaard;Holland
Javier;Zanetti;Argentina
Marcel;Desailly;France
Franco;Baresi;Italy
Roy;Keane;Republic of Ireland
Hidetoshi;Nakata;Japan
Clarence;Seedorf;Holland
Frank;Lampard;England
Ra«–l;Gonz«≠lez Blanco;Spain
Gerard;Piqu«∏ Bernabeu;Spain
Ivan;Rakitié?;Croatia
Marek;Hamè≠«k;Slovakia
Jan;Vertonghen;Belgium
Dries;Mertens;Belgium
Alexis;S«≠nchez;Chile
Jordi;Alba Ramos;Spain
Romelu;Lukaku;Belgium
Keylor;Navas;Costa Rica
Kalidou;Koulibaly;Senegal
Mauro;Icardi;Argentina
Samuel;Umtiti;France
Kylian;Mbapp«∏;France
Kalidou;Koulibaly;Senegal
Andr«∏s;Iniesta Luj«≠n;Spain
Gennaro;Gattuso;Italy
Miroslav;Klose;Germany
Henrik;Larsson;Sweden
Gerard;Piqu«∏ Bernabeu;Spain
Ivan;Rakitié?;Croatia
Marek;Hamè≠«k;Slovakia
Jan;Vertonghen;Belgium
Dries;Mertens;Belgium
Alexis;S«≠nchez;Chile
Pierre-Emerick;Aubameyang;Gabon
Jordi;Alba Ramos;Spain
Ciro;Immobile;Italy
Romelu;Lukaku;Belgium
Keylor;Navas;Costa Rica
Kalidou;Koulibaly;Senegal
Mauro;Icardi;Argentina
Samuel;Umtiti;France
Kylian;Mbapp«∏;France
Thierry;Henry;France
Alessandro;Del Piero;Italy
Dennis;Bergkamp;Holland
Hern«≠n;Crespo;Argentina
Luis;Hern«≠ndez;Mexico
Anderson Lu«s;de Souza;Portugal
Edwin;van der Sar;Holland
Fabio;Cannavaro;Italy
Filippo;Inzaghi;Italy
Jay-Jay;Okocha;Nigeria
Gianfranco;Zola;Italy
Javier;Zanetti;Argentina
Ryan;Giggs;Wales
Gary;Lineker;England
Marcel;Desailly;France
Bobby;Moore;England
Paul;Scholes;England
Hristo;Stoichkov;Bulgaria
Alan;Shearer;England
Emilio;Butrague«Òo Santos;Spain
S«¸crates;Vieira de Oliveira;Brazil
Claude;Mak«∏l«∏l«∏;France
Rivaldo V«tor;Borba Ferreira;Brazil
Sol;Campbell;England
Fernando Luiz;Rosa;Brazil
Ronaldo;Aparecido Rodrigues;Brazil
Medhi;Benatia;Morocco
Miralem;Pjanié?;Bosnia and Herzegovina
Ivan;Periè≠ié?;Croatia
J«∏r«Ôme;Boateng;Germany
Leonardo;Bonucci;Italy
Thiago;Alc«Ωntara;Spain
Daniel;Parejo Mu«Òoz;Spain
Thomas;M«¨ller;Germany
Douglas;Costa de Souza;Brazil
Alex Sandro;Lobo Silva;Brazil
Nemanja;Matié?;Serbia
Nicol«≠s;Otamendi;Argentina
Marco;Verratti;Italy
Rapha«Æl;Varane;France
Roberto Firmino;Barbosa de Oliveira;Brazil
Sadio;Man«∏;Senegal
Ederson;Santana de Moraes;Brazil
Leroy;San«∏;Germany
Patrick;Kluivert;Holland
Carles;Puyol Saforcada;Spain
Hidetoshi;Nakata;Japan
Fernando Luiz;Rosa;Brazil
Ronaldo;Aparecido Rodrigues;Brazil
Mesut;«?zil;Germany
Medhi;Benatia;Morocco
Miralem;Pjanié?;Bosnia and Herzegovina
Ivan;Periè≠ié?;Croatia
J«∏r«Ôme;Boateng;Germany
Leonardo;Bonucci;Italy
C«∏sar;Azpilicueta Tanco;Spain
Thiago;Alc«Ωntara;Spain
Daniel;Parejo Mu«Òoz;Spain
Thomas;M«¨ller;Germany
Douglas;Costa de Souza;Brazil
Alex Sandro;Lobo Silva;Brazil
Nemanja;Matié?;Serbia
Nicol«≠s;Otamendi;Argentina
Marco;Verratti;Italy
Rapha«Æl;Varane;France
Roberto Firmino;Barbosa de Oliveira;Brazil
Sadio;Man«∏;Senegal
Ederson;Santana de Moraes;Brazil
Leroy;San«∏;Germany
Roberto Carlos;da Silva Rocha;Brazil
Juan Sebasti«≠n;Ver«¸n;Argentina
Patrick;Vieira;France
Peter;Schmeichel;Denmark
Ruud;Gullit;Holland
Marc;Overmars;Holland
Fernando;Hierro Ruiz;Spain
Michael;Owen;England
Henrik;Larsson;Sweden
Andriy;Shevchenko;Ukraine
Frank;Rijkaard;Holland
Christian;Vieri;Italy
Ruud;van Nistelrooy;Holland
Pavel;Nedvé?d;Czech Republic
Roy;Keane;Republic of Ireland
David;Trezeguet;France
Frank;Lampard;England
Steven;Gerrard;England
Ra«–l;Gonz«≠lez Blanco;Spain
Michael;Ballack;Germany
Arjen;Robben;Holland
Vincent;Kompany;Belgium
Franck;Rib«∏ry;France
Filipe Lu«s;Kasmirski;Brazil
Radamel Falcao;Garc«a Zarate;Colombia
Jo«úo Miranda;de Souza Filho;Brazil
Blaise;Matuidi;France
Dimitri;Payet;France
Diego;da Silva Costa;Spain
Sami;Khedira;Germany
Edin;DèÛeko;Bosnia and Herzegovina
Arturo;Vidal;Chile
Toby;Alderweireld;Belgium
Yacine;Brahimi;Algeria
Marco;Reus;Germany
Kostas;Manolas;Greece
Jorge;Resurrecci«¸n;Spain
David;Alaba;Austria
Raheem;Sterling;England
Virgil;van Dijk;Holland
Sa«–l;«?«guez Escl«≠pez;Spain
F«≠bio;Henrique Tavares;Brazil
Joshua;Kimmich;Germany
Nabil;Fekir;France
Marco;Asensio Willemsen;Spain
Milan;èˇkriniar;Slovakia
Radja;Nainggolan;Belgium
é¯lkay;G«¨ndoé?an;Germany
Riyad;Mahrez;Algeria
Alisson;Ramses Becker;Brazil
Sol;Campbell;England
Arjen;Robben;Holland
Zlatan;Ibrahimovié?;Sweden
K«∏pler Laveran;Lima Ferreira;Portugal
Vincent;Kompany;Belgium
Franck;Rib«∏ry;France
Filipe Lu«s;Kasmirski;Brazil
Radamel Falcao;Garc«a Zarate;Colombia
Jo«úo Miranda;de Souza Filho;Brazil
Blaise;Matuidi;France
Radja;Nainggolan;Belgium
Diego;da Silva Costa;Spain
Sami;Khedira;Germany
Edin;DèÛeko;Bosnia and Herzegovina
Arturo;Vidal;Chile
Toby;Alderweireld;Belgium
Yacine;Brahimi;Algeria
Jos«∏ Paulo;Bezerra M. J«–nior;Brazil
Marco;Reus;Germany
Iago;Aspas Juncal;Spain
Kostas;Manolas;Greece
Jorge;Resurrecci«¸n;Spain
David;Alaba;Austria
Raheem;Sterling;England
Virgil;van Dijk;Holland
Riyad;Mahrez;Algeria
Sa«–l;«?«guez Escl«≠pez;Spain
F«≠bio;Henrique Tavares;Brazil
Joshua;Kimmich;Germany
Alisson;Ramses Becker;Brazil
Nabil;Fekir;France
Marco;Asensio Willemsen;Spain
Laurent;Blanc;France
Sergej;Milinkovié?-Savié?;Serbia
Milan;èˇkriniar;Slovakia
Rio;Ferdinand;England
Emmanuel;Petit;France
Hern«≠n;Crespo;Argentina
Luis;Hern«≠ndez;Mexico
Rui Manuel;C«∏sar Costa;Portugal
Anderson Lu«s;de Souza;Portugal
Gheorghe;Hagi;Romania
Michael;Laudrup;Denmark
Robert;Pir«˘s;France
Filippo;Inzaghi;Italy
Jay-Jay;Okocha;Nigeria
Gianfranco;Zola;Italy
Jens;Lehmann;Germany
Jari;Litmanen;Finland
Hidetoshi;Nakata;Japan
Claude;Mak«∏l«∏l«∏;France
Clarence;Seedorf;Holland
Gennaro;Gattuso;Italy
Andrea;Barzagli;Italy
Ra«–l;Albiol Tortajada;Spain
Moussa;Demb«∏l«∏;Belgium
Karim;Benzema;France
Lucas;Pezzini Leiva;Brazil
Jonas;Gon«ıalves Oliveira;Brazil
Javier;Mart«nez Aginaga;Spain
Mario;MandèÛukié?;Croatia
«Ångel;Di Mar«a;Argentina
Jos«∏ Mar«a;Callej«¸n Bueno;Spain
Wojciech;Szczé?sny;Poland
é¯lkay;G«¨ndoé?an;Germany
Kyle;Walker;England
Juan;Cuadrado;Colombia
Norberto;Murara Neto;Brazil
Mattia;Perin;Italy
Stefan;de Vrij;Holland
Rodrigo;Moreno Machado;Spain
Anthony;Lopes;Portugal
Sergio;Roberto Carnicer;Spain
Heung Min;Son;Korea Republic
Daniel;Carvajal Ramos;Spain
Marcos;Ao«≠s Corr«—a;Brazil
Dele;Alli;England
Timo;Werner;Germany
Niklas;S«¨le;Germany
Alex;Nicolao Telles;Brazil
Jos«∏ Mar«a;Gim«∏nez;Uruguay
Bernardo Mota;Carvalho e Silva;Portugal
Davinson;S«≠nchez;Colombia
Ricardo Andrade;Quaresma Bernardo;Portugal
Andrea;Barzagli;Italy
Alejandro;G«¸mez;Argentina
Ra«–l;Albiol Tortajada;Spain
Moussa;Demb«∏l«∏;Belgium
Francesc;F«ˇbregas i Soler;Spain
Kasper;Schmeichel;Denmark
Karim;Benzema;France
St«∏phane;Ruffier;France
Sokratis;Papastathopoulos;Greece
Jonas;Gon«ıalves Oliveira;Brazil
Dimitri;Payet;France
Javier;Mart«nez Aginaga;Spain
Sergio;Asenjo Andr«∏s;Spain
Willian;Borges da Silva;Brazil
Mario;MandèÛukié?;Croatia
«Ångel;Di Mar«a;Argentina
Jos«∏ Mar«a;Callej«¸n Bueno;Spain
Wojciech;Szczé?sny;Poland
é¯lkay;G«¨ndoé?an;Germany
Kyle;Walker;England
Asier;Illarramendi;Spain
Luk«≠è≠;Hr«≠deck«´;Finland
Bernd;Leno;Germany
Henrikh;Mkhitaryan;Armenia
Juan;Cuadrado;Colombia
Alexandre;Lacazette;France
Norberto;Murara Neto;Brazil
Mattia;Perin;Italy
Stefan;de Vrij;Holland
Rodrigo;Moreno Machado;Spain
Anthony;Lopes;Portugal
Sergio;Roberto Carnicer;Spain
Heung Min;Son;Korea Republic
Daniel;Carvajal Ramos;Spain
Florian;Thauvin;France
Luiz Frello;Filho Jorge;Italy
William;Silva de Carvalho;Portugal
Marcos;Ao«≠s Corr«—a;Brazil
Dele;Alli;England
Niklas;S«¨le;Germany
Alex;Nicolao Telles;Brazil
Jos«∏ Mar«a;Gim«∏nez;Uruguay
Bernardo Mota;Carvalho e Silva;Portugal
Davinson;S«≠nchez;Colombia
Petr;é?ech;Czech Republic
Daniele;De Rossi;Italy
Yann;Sommer;Switzerland
Antonio;Ad«≠n Garrido;Spain
Juan Manuel;Mata Garc«a;Spain
Ralf;F«œhrmann;Germany
Shinji;Kagawa;Japan
Kamil;Glik;Poland
Danijel;Subaè≠ié?;Croatia
Oliver;Baumann;Germany
Luis Miguel;Afonso Fernandes;Portugal
Wissam;Ben Yedder;France
Granit;Xhaka;Switzerland
Jos«∏ Ignacio;Fern«≠ndez Iglesias;Spain
Danilo Lu«s;H«∏lio Pereira;Portugal
Julian;Draxler;Germany
Memphis;Depay;Holland
Stefan;Savié?;Montenegro
Felipe Augusto;de Almeida Monteiro;Brazil
Lucas;V«≠zquez Iglesias;Spain
Adrien;Rabiot;France
Anthony;Martial;France
Aymeric;Laporte;France
Anderson;Souza Concei«ı«úo;Brazil
Kingsley;Coman;France
Corentin;Tolisso;France
Presnel;Kimpembe;France
Gabriel;Fernando de Jesus;Brazil
Joel;Matip;Cameroon
Thomas;Meunier;Belgium
Leon;Goretzka;Germany
Thomas;Lemar;France
Lucas;Hern«≠ndez;France
Naby;Ke«Óta;Guinea
Malcom Filipe;Silva de Oliveira;Brazil
Jo«úo Pedro;Cavaco Cancelo;Portugal
Jos«∏ Manuel;Reina P«≠ez;Spain
Daniele;De Rossi;Italy
Aritz;Aduriz Zubeldia;Spain
Steve;Mandanda;France
Emiliano;Viviano;Italy
Lucas;Pezzini Leiva;Brazil
Rui Pedro;dos Santos Patr«cio;Portugal
Antonio;Ad«≠n Garrido;Spain
Juan Manuel;Mata Garc«a;Spain
«?ver;Banega;Argentina
Ralf;F«œhrmann;Germany
David Luiz;Moreira Marinho;Brazil
Giuliano Victor;de Paula;Brazil
Luiz Gustavo;Dias;Brazil
Mario;Balotelli;Italy
Bas;Dost;Holland
Shinji;Kagawa;Japan
Kevin;Strootman;Holland
Kamil;Glik;Poland
Danijel;Subaè≠ié?;Croatia
Oliver;Baumann;Germany
Willian Jos«∏;da Silva;Brazil
Luis Miguel;Afonso Fernandes;Portugal
Timo;Horn;Germany
Jos«∏ Ignacio;Fern«≠ndez Iglesias;Spain
Danilo Lu«s;H«∏lio Pereira;Portugal
«Ålvaro Borja;Morata Mart«n;Spain
Julian;Draxler;Germany
Memphis;Depay;Holland
Stefan;Savié?;Montenegro
Jordan;Pickford;England
Manuel;Trigueros Mu«Òoz;Spain
Kepa;Arrizabalaga;Spain
Mateo;Kovaéçié?;Croatia
Felipe Augusto;de Almeida Monteiro;Brazil
Gerard;Moreno Balaguer«¸;Spain
Yannick;Carrasco;Belgium
Lucas;V«≠zquez Iglesias;Spain
Quincy;Promes;Holland
Leon;Goretzka;Germany
Adrien;Rabiot;France
Samuel;Castillejo Azuaga;Spain
Anthony;Martial;France
Timo;Werner;Germany
Bruno Miguel;Borges Fernandes;Portugal
Aymeric;Laporte;France
Jonathan;Tah;Germany
Kingsley;Coman;France
Thomas;Lemar;France
Corentin;Tolisso;France
Naby;Ke«Óta;Guinea
Malcom Filipe;Silva de Oliveira;Brazil
Presnel;Kimpembe;France
Gabriel;Fernando de Jesus;Brazil
Iker;Casillas Fern«≠ndez;Spain
Daniel;Alves da Silva;Brazil
Antonio;Valencia;Ecuador
Jardel;Nivaldo Vieira;Brazil
Ezequiel;Garay;Argentina
Daniel;Wass;Denmark
Iv«≠n;Marcano Sierra;Spain
«Ångel Lu«s;Rodr«guez D«az;Spain
Federico;Fazio;Argentina
Georginio;Wijnaldum;Holland
Vedran;é?orluka;Croatia
Ljubomir;Fejsa;Serbia
Jordan;Henderson;England
Aleksandar;Kolarov;Serbia
«?mer;Toprak;Turkey
Kieran;Trippier;England
Marlos;Romero Bonfim;Ukraine
Steven;Nzonzi;France
Taison;Barcellos Freda;Brazil
Javier;Pastore;Argentina
Ander;Herrera Ag«¨era;Spain
Mario;G«Ùtze;Germany
Andriy;Yarmolenko;Ukraine
Allan;Marques Loureiro;Brazil
Gabriel;Armando de Abreu;Brazil
Rafael;Alc«Ωntara;Brazil
Geoffrey;Kondogbia;France
Thomas;Meunier;Belgium
Alessandro;Florenzi;Italy
John;Stones;England
Serge;Gnabry;Germany
Jesse;Lingard;England
Hakim;Ziyech;Morocco
Thomas;Partey;Ghana
Daniele;Rugani;Italy
Thomas;Strakosha;Albania
Federico;Bernardeschi;Italy
Andrej;Kramarié?;Croatia
Cl«∏ment;Lenglet;France
Lucas;Hern«≠ndez;France
Gon«ıalo Manuel;Ganchinho Guedes;Portugal
Eric;Bailly;C«Ôte d'Ivoire
Gelson Dany;Batalha Martins;Portugal
Arthur Henrique;Ramos Oliveira Melo;Brazil
Ousmane;Demb«∏l«∏;France
Rodrigo;Hern«≠ndez Cascante;Spain
Axel;Witsel;Belgium
Lucas;Rodrigues M. Silva;Brazil
Quincy;Promes;Holland
Frederico;R. de Paula Santos;Brazil
Hirving;Lozano;Mexico
Iker;Casillas Fern«≠ndez;Spain
Joaqu«n;S«≠nchez Rodr«guez;Spain
Petr;é?ech;Czech Republic
Rune Almenning;Jarstein;Norway
David;Villa S«≠nchez;Spain
Daniel;Alves da Silva;Brazil
Lucas;Biglia;Argentina
Andrea;Consigli;Italy
Laurent;Koscielny;France
Antonio;Valencia;Ecuador
Salvatore;Sirigu;Italy
Jardel;Nivaldo Vieira;Brazil
Ezequiel;Garay;Argentina
Andr«∏s;Guardado;Mexico
Daniel;Wass;Denmark
Iv«≠n;Marcano Sierra;Spain
Axel;Witsel;Belgium
Lars;Bender;Germany
Yann;Sommer;Switzerland
Olivier;Giroud;France
Federico;Fazio;Argentina
Georginio;Wijnaldum;Holland
Vedran;é?orluka;Croatia
Adil;Rami;France
Ljubomir;Fejsa;Serbia
Marco;Parolo;Italy
Max;Kruse;Germany
Jordan;Henderson;England
Nicol«≠s;Gait«≠n;Argentina
Marko;Arnautovié?;Austria
Sebastian;Giovinco;Italy
Gylfi;Sigur«¯sson;Iceland
Aleksandar;Kolarov;Serbia
«?mer;Toprak;Turkey
Kieran;Trippier;England
Aaron;Ramsey;Wales
Marlos;Romero Bonfim;Ukraine
Steven;Nzonzi;France
Oscar;dos Santos Emboaba;Brazil
Taison;Barcellos Freda;Brazil
Giacomo;Bonaventura;Italy
Pedro;Rodr«guez Ledesma;Spain
Javier;Pastore;Argentina
Ander;Herrera Ag«¨era;Spain
Shkodran;Mustafi;Germany
Mario;G«Ùtze;Germany
Marcos;Alonso Mendoza;Spain
Koen;Casteels;Belgium
V«ctor;Ruiz Torre;Spain
Idrissa;Gueye;Senegal
Kevin;Kampl;Slovenia
Sebasti«≠n;Coates;Uruguay
Marc;Bartra Aregall;Spain
Jonathan;Viera Ramos;Spain
Luis Alberto;Romero Alconchel;Spain
Wilfried;Zaha;C«Ôte d'Ivoire
C«∏dric;Bakambu;Congo DR
Francesco;Acerbi;Italy
Allan;Marques Loureiro;Brazil
Lucas;Rodrigues M. Silva;Brazil
Gabriel;Armando de Abreu;Brazil
Rafael;Alc«Ωntara;Brazil
Geoffrey;Kondogbia;France
Felipe Anderson;Pereira Gomes;Brazil
Thomas;Meunier;Belgium
Jes«–s Joaqu«n;Fern«≠ndez S«≠ez;Spain
Simone;Zaza;Italy
Harry;Maguire;England
Alessandro;Florenzi;Italy
John;Stones;England
Edin;Viè≠é?a;Bosnia and Herzegovina
Serge;Gnabry;Germany
Franco;V«≠zquez;Italy
Jesse;Lingard;England
Carlos;Bacca;Colombia
Emil;Forsberg;Sweden
Andrea;Belotti;Italy
Hakim;Ziyech;Morocco
Jamie;Vardy;England
Frederico;R. de Paula Santos;Brazil
Thomas;Partey;Ghana
Alessio;Romagnoli;Italy
Daniele;Rugani;Italy
Julian;Brandt;Germany
Federico;Bernardeschi;Italy
Anderson;Souza Concei«ı«úo;Brazil
Andreas;Christensen;Denmark
Daniel;Garc«a Carrillo;Spain
Andrej;Kramarié?;Croatia
Jean Micha«Æl;Seri;C«Ôte d'Ivoire
Cl«∏ment;Lenglet;France
Lucas;Hern«≠ndez;France
Pau;L«¸pez Sabata;Spain
Gon«ıalo Manuel;Ganchinho Guedes;Portugal
Eric;Bailly;C«Ôte d'Ivoire
Gelson Dany;Batalha Martins;Portugal
Leon;Bailey;Jamaica
Gianluigi;Donnarumma;Italy
Arthur Henrique;Ramos Oliveira Melo;Brazil
Ousmane;Demb«∏l«∏;France
Rodrigo;Hern«≠ndez Cascante;Spain
Jiè?«;Pavlenka;Czech Republic
James;Milner;England
H«∏ctor;Herrera;Mexico
Manuel H.;Tavares Fernandes;Portugal
Borja;Valero Iglesias;Spain
Antonio;Candreva;Italy
èÅukasz;Piszczek;Poland
K«∏vin;Gameiro;France
Benedikt;H«Ùwedes;Germany
Marcelo Ant«Ônio;Guedes Filho;Brazil
Adam;Lallana;England
Sidnei Rechel;da Silva J«–nior;Brazil
Fernando;Muslera;Uruguay
Diego;Perotti;Argentina
Ron-Robert;Zieler;Germany
Roman;B«¨rki;Switzerland
Sebastian;Rudy;Germany
Chris;Smalling;England
Stephan;El Shaarawy;Italy
Eduardo;Salvio;Argentina
Maicon;Pereira Roque;Brazil
Alphonse;Areola;France
Jes«–s;Corona;Mexico
Xherdan;Shaqiri;Switzerland
M«≠rio;Figueira Fernandes;Russia
Dejan;Lovren;Croatia
Simone;Verdi;Italy
Joel;Matip;Cameroon
Serge;Aurier;C«Ôte d'Ivoire
V«ctor;Mach«n P«∏rez;Spain
Jasper;Cillessen;Holland
Jeison;Murillo;Colombia
Faouzi;Ghoulam;Algeria
«Ålvaro;Gonz«≠lez Sober«¸n;Spain
Michy;Batshuayi;Belgium
Benjamin;Mendy;France
Matija;Nastasié?;Serbia
Ben;Davies;Wales
Alejandro;Grimaldo Garc«a;Spain
Elseid;Hysaj;Albania
Jo«úo M«≠rio;Naval Costa Eduardo;Portugal
Andrew;Robertson;Scotland
Fabi«≠n;Ruiz Pe«Òa;Spain
Marcus;Rashford;England
Fedor;Smolov;Russia
Salif;San«∏;Senegal
èˇime;Vrsaljko;Croatia
Bertrand;Traor«∏;Burkina Faso
Garry;Mendes Rodrigues;Cape Verde Islands
Jo«úo Pedro;Cavaco Cancelo;Portugal
J«∏r«∏my;Mathieu;France
James;Milner;England
Raffael Caetano;de Ara«–jo;Brazil
Mario;G«¸mez;Germany
H«∏ctor;Herrera;Mexico
Manuel H.;Tavares Fernandes;Portugal
Baf«∏timbi;Gomis;France
Borja;Valero Iglesias;Spain
